INDEX,EMPRESA,CATEGORIA,DESCRIPCION,MONTO,FECHA
62,SARMIENTO,OPERACION,SEGUROS,0.0,2019-10-01
63,SARMIENTO,OPERACION,TECNOLOGIA Y VIDEO-FILMACION,1735755.46,2019-10-01
64,SARMIENTO,PERSONAL,PERSONAL,402574130.55,2019-10-01
65,BELGRANO SUR,INVERSION,MANTENIMIENTO ELECTRICO,0.0,2019-09-01
66,BELGRANO SUR,INVERSION,MATERIAL RODANTE,2951982.7097,2019-09-01
67,BELGRANO SUR,INVERSION,SENALES Y TELECOMUNICACIONES,743901.58,2019-09-01
68,BELGRANO SUR,INVERSION,VIAS Y OBRAS,16721489.8433,2019-09-01
69,BELGRANO SUR,OPERACION,CONTROL MEDICO Y SEGURIDAD OPERATIVA,3875479.07,2019-09-01
70,BELGRANO SUR,OPERACION,GASTOS ADMINISTRATIVOS E IMPUESTOS,6554122.55,2019-09-01
71,BELGRANO SUR,OPERACION,LIMPIEZA,2478165.35,2019-09-01
72,BELGRANO SUR,OPERACION,LOGISTICA DE RECAUDACION,0.0,2019-09-01
73,BELGRANO SUR,OPERACION,SEGURIDAD,3489031.57,2019-09-01
74,BELGRANO SUR,OPERACION,SEGUROS,146858.26,2019-09-01
75,BELGRANO SUR,OPERACION,TECNOLOGIA Y VIDEO-FILMACION,856590.13,2019-09-01
76,BELGRANO SUR,OPERACION,COMBUSTIBLES Y ENERGIA,24096079.92,2019-09-01
77,BELGRANO SUR,PERSONAL,PERSONAL,238434120.87,2019-09-01
78,MITRE,INVERSION,MANTENIMIENTO ELECTRICO,0.0,2019-09-01
79,MITRE,INVERSION,MATERIAL RODANTE,3989997.2704,2019-09-01
80,MITRE,INVERSION,SENALES Y TELECOMUNICACIONES,233992.9618,2019-09-01
81,MITRE,INVERSION,VIAS Y OBRAS,59099659.5094,2019-09-01
82,MITRE,OPERACION,CONTROL MEDICO Y SEGURIDAD OPERATIVA,4993513.12,2019-09-01
83,MITRE,OPERACION,GASTOS ADMINISTRATIVOS E IMPUESTOS,14261319.19,2019-09-01
84,MITRE,OPERACION,LIMPIEZA,1293591.29,2019-09-01
85,MITRE,OPERACION,LOGISTICA DE RECAUDACION,0.0,2019-09-01
86,MITRE,OPERACION,SEGURIDAD,32463978.95,2019-09-01
87,MITRE,OPERACION,SEGUROS,339474.53,2019-09-01
88,MITRE,OPERACION,TECNOLOGIA Y VIDEO-FILMACION,979414.85,2019-09-01
89,MITRE,OPERACION,COMBUSTIBLES Y ENERGIA,36579047.9,2019-09-01
90,MITRE,PERSONAL,PERSONAL,508588631.33,2019-09-01
91,ROCA,INVERSION,MATERIAL RODANTE,12371901.9722,2019-09-01
92,ROCA,INVERSION,SENALES Y TELECOMUNICACIONES,559239.56,2019-09-01
93,ROCA,INVERSION,VIAS Y OBRAS,67123155.6548,2019-09-01
94,ROCA,INVERSION,MANTENIMIENTO ELECTRICO,0.0,2019-09-01
95,ROCA,OPERACION,COMBUSTIBLES Y ENERGIA,109306044.94,2019-09-01
