INDEX,FECHA,LINEA,TIPOPASAJE,TOTAL
599,2016-01-01,BELGRANO SUR,NORMAL,497550
600,2016-01-01,BELGRANO SUR,ATRIBUTO SOCIAL,78269
601,2016-01-01,MITRE,NORMAL,362945
602,2016-01-01,MITRE,ATRIBUTO SOCIAL,49749
603,2016-01-01,MITRE,ATRIBUTO SOCIAL,87966
604,2016-01-01,MITRE,NORMAL,682552
605,2016-01-01,MITRE,ATRIBUTO SOCIAL,232352
606,2016-01-01,MITRE,NORMAL,1885744
607,2016-01-01,MITRE,ATRIBUTO SOCIAL,58
608,2016-01-01,MITRE,NORMAL,293
609,2016-01-01,SARMIENTO,NORMAL,3356788
610,2016-01-01,SARMIENTO,ATRIBUTO SOCIAL,876141
