INDEX,DIRECCION,NUMERO,LOCALIDAD,PROVINCIA,TIPO_UBICACION,LONGITUD,LATITUD
4695,ROMERO JULIAN ING.,1,CINCO SALTOS,RN,KIOSCO,-68.06054,-38.82999
4696,ROMERO J.J.,3528,PONTEVEDRA,BA,CIBER,-58.71487,-34.71315
4697,ROMERO FELIPE,27,USHUAIA,TF,KIOSCO,-68.23358,-54.79506
4698,ROMERO A.,2400,CLAYPOLE,BA,KIOSCO,-58.4152,-34.65313
4699,ROMERO A.,1923,CLAYPOLE,BA,KIOSCO,-58.33472,-34.81615
4700,ROMERO,414,NUEVA POMPEYA,CF,KIOSCO,-58.415330000000004,-34.65228
4701,ROMERO,3102,REMEDIOS DE ESCALADA,BA,COMERCIO,-58.41124,-34.71387
4702,ROMA,1739,ALVEAR,SF,ALMACEN/AUTOSERV,-60.62146,-33.05875
4703,ROMA,807,GARIN,BA,COMERCIO,-58.72691999999999,-34.42072
4704,ROMA,3147,ISIDRO CASANOVA,BA,CENTRO DE PAGO,-58.580980000000004,-34.70366
4705,ROMA,3215,ISIDRO CASANOVA,BA,KIOSCO,-58.58161,-34.70305
4706,ROMA,404,LA LUCILA,BA,KIOSCO,-58.48206,-34.50122
4707,ROMA,4271,LANUS,BA,COMERCIO,-58.409690000000005,-34.7628
4708,ROMA,4316,LANUS,BA,KIOSCO,-58.3702,-34.74281
4709,ROMA,803,TRUJUI,BA,ALMACEN/AUTOSERV,-58.761390000000006,-34.61223
4710,ROMA,65,TRUJUI,BA,ALMACEN/AUTOSERV,-58.76805,-34.610440000000004
4711,ROMA,0,TRUJUI,BA,KIOSCO,-58.76441,-34.61153
4712,ROMA,703,TRUJUI,BA,KIOSCO,-58.7651,-34.611709999999995
4713,ROLON GDOR JOSE MARIA,2136,CORRIENTES,CR,KIOSCO,-58.82355,-27.461509999999997
4714,ROLON AVELINO AV.,199,BOULOGNE,BA,AGE. DE LOTE,-58.5524,-34.49496
4715,ROLON AVELINO AV.,787,BOULOGNE,BA,AGE. DE LOTE,-58.55656,-34.498459999999994
4716,ROLON AVELINO AV.,2280,BOULOGNE,BA,AGE. DE LOTE,-58.566930000000006,-34.5116
4717,ROLON AVELINO AV.,2209,BOULOGNE,BA,AGE. DE LOTE,-58.567009999999996,-34.51085
4718,ROLON AVELINO AV.,2008,BOULOGNE,BA,COMERCIO,-58.56581,-34.508790000000005
4719,ROLON AVELINO AV.,2384,BOULOGNE,BA,CORREO,-58.56726,-34.51263
4720,ROLON AVELINO AV.,2412,BOULOGNE,BA,EST. DE SERV.,-58.5674,-34.51312
4721,ROLON AVELINO AV.,2730,BOULOGNE,BA,EST. DE SERV.,-58.56834,-34.5158
4722,ROLON AVELINO AV.,1399,BOULOGNE,BA,EST. DE SERV.,-58.560919999999996,-34.502759999999995
4723,ROLON AVELINO AV.,781,BOULOGNE,BA,KIOSCO,-58.55651999999999,-34.49843
4724,ROLON AVELINO AV.,730,BOULOGNE,BA,KIOSCO,-58.55611999999999,-34.49832
4725,ROLON AVELINO AV.,726,BOULOGNE,BA,KIOSCO,-58.55608,-34.4982
4726,ROLON AVELINO AV.,274,BOULOGNE,BA,KIOSCO,-58.552319999999995,-34.49541
4727,ROLON AVELINO AV.,2487,BOULOGNE,BA,KIOSCO,-58.567840000000004,-34.513529999999996
4728,ROLON AVELINO AV.,2224,BOULOGNE,BA,KIOSCO,-58.56673000000001,-34.51121
4729,ROLON AVELINO AV.,240,BOULOGNE,BA,KIOSCO,-58.55517,-34.49763
4730,ROLON AVELINO AV.,2373,BOULOGNE,BA,KIOSCO,-58.56759,-34.51235
4731,ROLON AVELINO AV.,1700,BOULOGNE,BA,KIOSCO,-58.563269999999996,-34.50541
4732,ROLON ANDRES AV.,2185,BECCAR,BA,AGE. DE LOTE,-58.543980000000005,-34.46561
4733,ROLON ANDRES AV.,1142,SAN ISIDRO,BA,AGE. DE LOTE,-58.535709999999995,-34.47316
4734,ROLON ANDRES AV.,2316,SAN ISIDRO,BA,KIOSCO,-58.5448,-34.46481
4735,ROLON ANDRES AV.,692,SAN ISIDRO,BA,KIOSCO,-58.53043,-34.475559999999994
4736,ROLON ANDRES AV.,1002,SAN ISIDRO,BA,KIOSCO,-58.53451,-34.47367
4737,ROLON ANDRES AV.,690,SAN ISIDRO,BA,KIOSCO,-58.53043,-34.47558
4738,ROLDAN BELISARIO BIS,247,GLEW,BA,KIOSCO,-58.37955,-34.88909
4739,ROLDAN B.,2947,LA REJA,BA,KIOSCO,-58.809369999999994,-34.62577
4740,ROLDAN B.,6790,MORENO,BA,KIOSCO,-58.7882,-34.60548
4741,ROLDAN,1817,ARMSTRONG,SF,OTROS,-61.60586,-32.782579999999996
4742,ROLDAN,1892,ARMSTRONG,SF,SUPERMERCADO,-61.606759999999994,-32.78241
4743,ROLDAN,2101,GENERAL RODRIGUEZ,BA,ALMACEN/AUTOSERV,-58.91381,-34.6121
4744,ROLANDO POSTA,2634,BAHIA BLANCA,BA,COMERCIO,-62.2969,-38.69769
4745,ROLANDO,268,SAN CARLOS DE BARILOCHE,RN,KIOSCO,-71.30577,-41.13466
4746,ROLANDO,2150,SAN CARLOS DE BARILOCHE,RN,KIOSCO,-71.30881,-41.15204
4747,ROJO GRAL.,3099,GREGORIO DE LAFERRERE,BA,BOLETERIA,-58.58472,-34.75057
4748,ROJO GRAL.,3049,GREGORIO DE LAFERRERE,BA,ESTACION DE TREN,-58.58428000000001,-34.75038
4749,ROJO GRAL.,2733,GREGORIO DE LAFERRERE,BA,KIOSCO,-58.58065,-34.74835
4750,ROJO GRAL.,3105,GREGORIO DE LAFERRERE,BA,KIOSCO,-58.58465,-34.75057
