INDEX,ID,LINEA,LINEA_2,ESTACION,RAMAL,LONG,LAT,MES,CANTIDAD
41,90,MITRE,F.C.G.B.M.,COGHLAN, RETIRO - MITRE,-58.4753485,-34.5652607,2019-04-01,31460.0
42,90,MITRE,F.C.G.B.M.,COGHLAN, RETIRO - MITRE,-58.4753485,-34.5652607,2018-04-01,33937.0
43,90,MITRE,F.C.G.B.M.,COGHLAN, RETIRO - MITRE,-58.4753485,-34.5652607,2018-03-01,35210.0
44,90,MITRE,F.C.G.B.M.,COGHLAN, RETIRO - MITRE,-58.4753485,-34.5652607,2019-03-01,33183.0
45,90,MITRE,F.C.G.B.M.,COGHLAN, RETIRO - MITRE,-58.4753485,-34.5652607,2018-02-01,28338.0
46,90,MITRE,F.C.G.B.M.,COGHLAN, RETIRO - MITRE,-58.4753485,-34.5652607,2019-02-01,29040.0
47,90,MITRE,F.C.G.B.M.,COGHLAN, RETIRO - MITRE,-58.4753485,-34.5652607,2018-01-01,29963.0
48,90,MITRE,F.C.G.B.M.,COGHLAN, RETIRO - MITRE,-58.4753485,-34.5652607,2019-01-01,29671.0
49,91,MITRE,F.C.G.B.M.,COLEGIALES, RETIRO - MITRE,-58.448253,-34.5729746,2018-12-01,60808.0
50,91,MITRE,F.C.G.B.M.,COLEGIALES, RETIRO - MITRE,-58.448253,-34.5729746,2019-11-01,91061.0
51,91,MITRE,F.C.G.B.M.,COLEGIALES, RETIRO - MITRE,-58.448253,-34.5729746,2018-11-01,87618.0
52,91,MITRE,F.C.G.B.M.,COLEGIALES, RETIRO - MITRE,-58.448253,-34.5729746,2018-10-01,107808.0
53,91,MITRE,F.C.G.B.M.,COLEGIALES, RETIRO - MITRE,-58.448253,-34.5729746,2019-10-01,84978.0
54,91,MITRE,F.C.G.B.M.,COLEGIALES, RETIRO - MITRE,-58.448253,-34.5729746,2018-09-01,95774.0
