INDEX,DIRECCION,NUMERO,LOCALIDAD,PROVINCIA,TIPO_UBICACION,LONGITUD,LATITUD
2205,MORENO,815,COMODORO RIVADAVIA,CB,OTROS,-67.47688000000001,-45.8619
2206,MORENO,1205,FORMOSA,FO,KIOSCO,-58.16579,-26.18737
2207,MORENO,3716,GENERAL SAN MARTIN,BA,COMERCIO,-58.535880000000006,-34.57829
2208,MORENO,3847,GENERAL SAN MARTIN,BA,KIOSCO,-58.537,-34.57906
2209,MORENO,3454,LAS HERAS,MZ,KIOSCO,-68.84079,-32.83168
2210,MORENO,1579,LAS HERAS,MZ,KIOSCO,-68.83984,-32.85018
2211,MORENO,1795,LAS HERAS,MZ,KIOSCO,-68.83988000000001,-32.848290000000006
2212,MORENO,2612,LAS HERAS,MZ,LOCUTORIO,-68.84035,-32.84001
2213,MORENO,2667,MAR DEL PLATA,BA,AGE. DE LOTE,-57.549409999999995,-38.001490000000004
2214,MORENO,2119,MAR DEL PLATA,BA,AGE. DE LOTE,-57.54399,-38.00424
2215,MORENO,2717,MAR DEL PLATA,BA,KIOSCO,-57.54994,-38.00116
2216,MORENO,2398,MAR DEL PLATA,BA,KIOSCO,-57.546780000000005,-38.00285
2217,MORENO,2422,MAR DEL PLATA,BA,KIOSCO,-57.54708,-38.0027
2218,MORENO,2111,MAR DEL PLATA,BA,LIBRERIA,-57.54395,-38.004220000000004
2219,MORENO,450,MONSERRAT,CF,AGE. DE LOTE,-58.37263000000001,-34.61138
2220,MORENO,1717,MONTSERRAT,CF,AGE. DE LOTE,-58.3906,-34.61253
2221,MORENO,600,PILAR,BA,AGE. DE LOTE,-58.912859999999995,-34.46288
2222,MORENO,8,RAFAELA,SF,OTROS,-61.49183000000001,-31.25137
2223,MORENO,340,SAN CARLOS DE BARILOCHE,RN,KIOSCO,-71.30509,-41.1351
2224,MORENO,975,SAN CARLOS DE BARILOCHE,RN,KIOSCO,-71.29621,-41.13603
2225,MORENO,909,SAN CARLOS DE BARILOCHE,RN,SUPERMERCADO,-71.29719,-41.13592
2226,MORENO,2697,VILLA BALLESTER,BA,AGE. DE LOTE,-58.565619999999996,-34.5403
2227,MORAN PEDRO,703,FLORENCIO VARELA,BA,KIOSCO,-58.29011,-34.78718
2228,MORAN PEDRO,391,FLORENCIO VARELA,BA,LOCUTORIO,-58.292,-34.78482
2229,MORALES,1106,SAN CARLOS DE BARILOCHE,RN,KIOSCO,-71.31159,-41.14291
2230,MONTIEL,66,LINIERS,CF,AGE. DE LOTE,-58.52639,-34.63985
2231,MONTIEL,1895,MATADEROS,CF,KIOSCO,-58.51621,-34.65867
2232,MONTIEL,5701,VILLA RIACHUELO,CF,AGE. DE LOTE,-58.4709,-34.69352
2233,MONTEVIDEO AV.,1481,BERISSO,BA,AGE. DE LOTE,-57.87599,-34.87203
2234,MONTEVIDEO AV.,2186,BERISSO,BA,AGE. DE LOTE,-57.86786,-34.87404
2235,MONTEVIDEO AV.,1192,BERISSO,BA,AGE. DE LOTE,-57.878809999999994,-34.870940000000004
2236,MONTEVIDEO AV.,1033,BERISSO,BA,AGE. DE LOTE,-57.881519999999995,-34.86997
2237,MONTEVIDEO AV.,2439,BERISSO,BA,AGE. DE LOTE,-57.86375,-34.87543
2238,MONTEVIDEO AV.,1809,BERISSO,BA,AGE. DE LOTE,-57.87154,-34.873259999999995
2239,MONTEVIDEO,127,BARRIO CIVICO (MENDOZA),MZ,KIOSCO,-68.84168000000001,-32.89236
2240,MONTEVIDEO,397,BERNAL ESTE,BA,SUPERMERCADO,-58.389219999999995,-34.60434
2241,MONTEVIDEO,2451,BERNAL OESTE,BA,KIOSCO,-58.31429,-34.72429
2242,MONTEVIDEO,20,MENDOZA,MZ,COMERCIO,-68.84025,-32.89267
2243,MONTEVIDEO,245,MENDOZA,MZ,KIOSCO,-68.84307,-32.89213
2244,MONTEVIDEO,619,MENDOZA,MZ,KIOSCO,-68.84791,-32.8912
2245,MONTEVIDEO,790,MENDOZA,MZ,KIOSCO,-68.84994,-32.89107
2246,MONTEVIDEO,974,RECOLETA,CF,AGE. DE LOTE,-58.3898,-34.59754
2247,MONTEVIDEO,1709,ROSARIO,SF,KIOSCO,-60.64906,-32.954640000000005
2248,MONTEVIDEO,569,SAN NICOLAS,CF,AGE. DE LOTE,-58.38946,-34.6022
2249,MONTEVIDEO,466,SAN NICOLAS,CF,AGE. DE LOTE,-58.389480000000006,-34.60346
2250,MONTEVIDEO,360,SAN NICOLAS,CF,AGE. DE LOTE,-58.38941,-34.60474
2251,MONTEVIDEO,3232,VILLA VATTEONE,BA,KIOSCO,-58.262840000000004,-34.81432
2252,MONTEVERDE LUIS GDOR. AV.,1698,FLORENCIO VARELA,BA,AGE. DE LOTE,-58.294259999999994,-34.78118
2253,MONTEVERDE LUIS GDOR. AV.,98,FLORENCIO VARELA,BA,KIOSCO,-58.28199,-34.774440000000006
2254,MONTEVERDE LUIS GDOR. AV.,1227,VILLA LA FLORIDA,BA,AGE. DE LOTE,-58.29096,-34.77915
2255,MONTEVERDE LUIS GDOR. AV.,1034,VILLA LA FLORIDA,BA,KIOSCO,-58.28865,-34.778290000000005
2256,MONTEVERDE LUIS GDOR. AV.,1799,VILLA LA FLORIDA,BA,KIOSCO,-58.29683000000001,-34.78192
2257,MONTEVERDE AV.,4196,BURZACO,BA,AGE. DE LOTE,-58.401430000000005,-34.83504
2258,MONTES DE OCA MANUEL A. AV.,1399,BARRACAS,CF,AGE. DE LOTE,-58.37389,-34.64358
2259,MONTES DE OCA MANUEL A. AV.,1654,BARRACAS,CF,AGE. DE LOTE,-58.3728,-34.64611
2260,MONTES DE OCA MANUEL A. AV.,1777,BARRACAS,CF,AGE. DE LOTE,-58.37325,-34.64779
2261,MONTES DE OCA MANUEL A. AV.,657,BARRACAS,CF,AGE. DE LOTE,-58.3752,-34.63564
2262,MONTES DE OCA MANUEL A. AV.,831,BARRACAS,CF,AGE. DE LOTE,-58.374919999999996,-34.63751
2263,MONTES DE OCA MANUEL A. AV.,888,BARRACAS,CF,AGE. DE LOTE,-58.37444,-34.63842
2264,MONTES DE OCA MANUEL A. AV.,348,BARRACAS,CF,AGE. DE LOTE,-58.37571,-34.6326
2265,MONTES DE OCA MANUEL A. AV.,1166,BARRACAS,CF,AGE. DE LOTE,-58.37393,-34.64141
2266,MONTES DE OCA,79,AVELLANEDA,BA,AGE. DE LOTE,-58.36806,-34.65906
2267,MONTES DE OCA,5959,CUARTEL V,BA,KIOSCO,-58.81308000000001,-34.54064
2268,MONTES DE OCA,374,GODOY CRUZ,MZ,KIOSCO,-68.8666,-32.9194
2269,MONTERRICO,1084,SAN SALVADOR DE JUJUY,JU,ALMACEN/AUTOSERV,-65.26321999999999,-24.24775
2270,MONTECASEROS,346,GODOY CRUZ,MZ,KIOSCO,-68.8425,-32.917840000000005
2271,MONTECARLO,3,VIRREY DEL PINO,BA,AGE. DE LOTE,-58.65164,-34.840140000000005
2272,MONTECARLO,1376,VIRREY DEL PINO,BA,COMERCIO,-58.63658,-34.84919
2273,MONTEAGUDO B.,4323,JOSE CLEMENTE PAZ,BA,COMERCIO,-58.7539,-34.534440000000004
2274,MONTEAGUDO,421,PARQUE PATRICIOS,CF,AGE. DE LOTE,-58.404709999999994,-34.64246
2275,MONTE RODOLFO DR.,799,MORON,BA,AGE. DE LOTE,-58.60991,-34.65818
2276,MONTE,810,BANFIELD,BA,KIOSCO,-58.39173,-34.744609999999994
2277,MONTANESES,2015,BELGRANO,CF,AGE. DE LOTE,-58.4482,-34.55819
2278,MONTANA N. BV.,885,GUALEGUAYCHU,ER,KIOSCO,-58.51735,-32.999179999999996
2279,MONSERRAT,309,ZEBALLOS,BA,AGE. DE LOTE,-58.24484,-34.80731
2280,MONSERRAT,1101,ZEBALLOS,BA,AGE. DE LOTE,-58.2396,-34.81092
2281,MONSENOR PIAGGIO,303,LOMAS DE ZAMORA,BA,AGE. DE LOTE,-58.40916,-34.76318
2282,MONS MARESMA,992,LAS HERAS,MZ,KIOSCO,-68.82016999999999,-32.861509999999996
2283,MONROE AV.,3441,BELGRANO,CF,AGE. DE LOTE,-58.47028,-34.56459
2284,MONROE AV.,2010,BELGRANO,CF,AGE. DE LOTE,-58.45626,-34.55624
2285,MONROE AV.,1474,BELGRANO,CF,AGE. DE LOTE,-58.450309999999995,-34.5528
2286,MONROE AV.,2487,BELGRANO,CF,AGE. DE LOTE,-58.46078000000001,-34.558690000000006
2287,MONROE AV.,2108,BELGRANO,CF,KIOSCO,-58.45721999999999,-34.55681
2288,MONROE,1758,BELGRANO,CF,AGE. DE LOTE,-58.45386,-34.55468
2289,MONROE,2707,BOULOGNE,BA,KIOSCO,-58.552519999999994,-34.49606
2290,MONROE,5214,EZPELETA ESTE,BA,KIOSCO,-58.22233000000001,-34.74436
2291,MONROE,5700,VILLA URQUIZA,CF,AGE. DE LOTE,-58.49293,-34.57829
2292,MONROE,4435,VILLA URQUIZA,CF,AGE. DE LOTE,-58.47948,-34.570159999999994
2293,MOLINA MARDOQUEO E.,517,SAN FDO DEL VALLE DE CATAMARCA,CT,KIOSCO,-65.7828,-28.48739
2294,MOLINA MANUEL IGNACIO,181,GUAYMALLEN,MZ,EST. DE SERV.,-68.80214000000001,-32.90312
2295,MOLINA JUAN,256,BAHIA BLANCA,BA,AGE. DE LOTE,-62.27893,-38.71467
2296,MOLINA ARROTEA,2006,LOMAS DE ZAMORA,BA,AGE. DE LOTE,-58.4269,-34.765570000000004
2297,MOLINA ARROTEA,1342,LOMAS DE ZAMORA,BA,AGE. DE LOTE,-58.418169999999996,-34.76681
2298,MOLINA ARROTEA,1891,LOMAS DE ZAMORA,BA,KIOSCO,-58.4272,-34.765679999999996
2299,MOLDES CNEL.,4496,SAN JUSTO,BA,AGE. DE LOTE,-58.568630000000006,-34.69775
2300,MOLDES,2873,BELGRANO,CF,AGE. DE LOTE,-58.465090000000004,-34.55712
2301,MOLDES,1023,CORONEL DORREGO,MZ,KIOSCO,-68.82528,-32.91451
2302,MODESTO LIMA,116,LUJAN DE CUYO,MZ,KIOSCO,-68.8896,-33.03843
2303,MNZA J,17,CORRIENTES,CR,KIOSCO,-58.783609999999996,-27.49025
2304,MNZA 21 LOTE 24- 18 HECTAREAS,0,SAN SALVADOR DE JUJUY,JU,KIOSCO,-65.23741,-24.26778
2305,MNA D CASA 11,0,SANTA LUCIA,SJ,KIOSCO DE DIARIOS,-68.49215,-31.521890000000003
2306,MITRE ESTE,339,SAN JUAN,SJ,KIOSCO,-68.52107,-31.53743
2307,MITRE BME. AV.,318,AVELLANEDA,BA,AGE. DE LOTE,-58.36966999999999,-34.65899
2308,MITRE BME. AV.,873,AVELLANEDA,BA,AGE. DE LOTE,-58.36396,-34.66339
2309,MITRE BME. AV.,1301,AVELLANEDA,BA,AGE. DE LOTE,-58.35955,-34.6655
2310,MITRE BME. AV.,634,AVELLANEDA,BA,AGE. DE LOTE,-58.36625,-34.66137
2311,MITRE BME. AV.,1281,AVELLANEDA,BA,KIOSCO,-58.3599,-34.66532
2312,MITRE BME. AV.,312,AVELLANEDA,BA,KIOSCO,-58.36948,-34.65885
2313,MITRE BME. AV.,541,AVELLANEDA,BA,KIOSCO,-58.36751999999999,-34.6608
2314,MITRE BME. AV.,1838,CRUCESITA,BA,AGE. DE LOTE,-58.355169999999994,-34.668459999999996
2315,MITRE BME. AV.,1951,CRUCESITA,BA,AGE. DE LOTE,-58.35463000000001,-34.66964
2316,MITRE BME. AV.,1420,CRUCESITA,BA,AGE. DE LOTE,-58.35787,-34.665729999999996
2317,MITRE BME. AV.,2170,MUNRO,BA,AGE. DE LOTE,-58.51594,-34.53006
2318,MITRE BME. AV.,3496,MUNRO,BA,AGE. DE LOTE,-58.52466999999999,-34.51972
2319,MITRE BME. AV.,2697,SARANDI,BA,AGE. DE LOTE,-58.348040000000005,-34.67673
2320,MITRE BME. AV.,2580,SARANDI,BA,KIOSCO,-58.348659999999995,-34.67563
2321,MITRE BME. AV.,4622,VILLA DOMINICO,BA,AGE. DE LOTE,-58.333009999999994,-34.6924
