INDEX,LINEA,ESTACION,TOTAL,FECHA
529,SARMIENTO,PASO DEL REY,202873,2018-03-01
530,MITRE,MALAVER,29188,2018-03-01
531,ROCA,YRIGOYEN,99445,2018-03-01
532,MITRE,FLORIDA,22023,2018-03-01
533,MITRE,DRAGO,40171,2018-03-01
534,ROCA,TEMPERLEY,297766,2018-03-01
535,ROCA,V. DOMINICO,25771,2018-03-01
536,MITRE,MARTINEZ,174700,2018-03-01
537,SARMIENTO,MORON,931808,2018-03-01
538,MITRE,MATHEU,1485,2018-03-01
539,MITRE,MIGUELETES,21438,2018-03-01
540,MITRE,ESCOBAR,4141,2018-03-01
541,MITRE,EL TALAR,2,2018-03-01
542,ROCA,V. CASARES,256,2018-03-01
543,SAN MARTIN,ASTOLFI,23215,2018-03-01
544,SARMIENTO,MORENO,859442,2018-03-01
545,MITRE,MITRE,76395,2018-03-01
546,MITRE,NUNEZ,101875,2018-03-01
547,ROCA,U. FERROVIARIA,98,2018-03-01
548,MITRE,OLIVOS,87053,2018-03-01
549,MITRE,MAQ. SAVIO,2559,2018-03-01
550,SARMIENTO,ONCE,1590417,2018-03-01
551,ROCA,GLEW,679634,2018-03-01
552,MITRE,URQUIZA,258675,2018-03-01
553,SAN MARTIN,S. LUGARES,30819,2018-03-01
554,ROCA,VILLA ESPANA,13494,2018-03-01
555,ROCA,CHASCOMUS,4845,2018-03-01
556,SAN MARTIN,SAENZ PENA,111513,2018-03-01
557,ROCA,CANUELAS,29763,2018-03-01
558,ROCA,CALZADA,162663,2018-03-01
559,ROCA,BURZACO,543788,2018-03-01
560,ROCA,BRIAN,1,2018-03-01
561,SAN MARTIN,MANZANARES,2580,2018-03-01
562,ROCA,CITY BELL,45904,2018-03-01
563,ROCA,JUAN XXIII,10,2018-03-01
564,ROCA,BRANDSEN,1392,2018-03-01
565,SAN MARTIN,SOL Y VERDE,117532,2018-03-01
566,ROCA,BOSQUES,81796,2018-03-01
567,ROCA,BERNAL,113185,2018-03-01
568,ROCA,BERAZATEGUI,266260,2018-03-01
569,ROCA,KLOOSTERMAN,66,2018-03-01
570,ROCA,KM. 33,5,2018-03-01
571,ROCA,BANFIELD,601526,2018-03-01
572,ROCA,KM. 34,8,2018-03-01
573,SAN MARTIN,SAN MIGUEL,395213,2018-03-01
574,ROCA,L. DE ZAMORA,1196590,2018-03-01
575,ROCA,JEPPENER,1,2018-03-01
576,ROCA,HUDSON,57616,2018-03-01
577,ROCA,F. VARELA,260401,2018-03-01
578,SAN MARTIN,PALOMAR,109538,2018-03-01
579,ROCA,GONNET,20688,2018-03-01
580,ROCA,EZPELETA,135409,2018-03-01
581,ROCA,GUERNICA,131976,2018-03-01
582,ROCA,EZEIZA,530982,2018-03-01
583,ROCA,ESCALADA,143622,2018-03-01
584,SAN MARTIN,PATERNAL,17178,2018-03-01
585,ROCA,EL JAGUEL,200417,2018-03-01
586,ROCA,J. MARMOL,77731,2018-03-01
587,ROCA,GUTIERREZ,7491,2018-03-01
588,ROCA,H. ESPANOL,5,2018-03-01
589,ROCA,DARIO Y MAXI,269847,2018-03-01
590,SAN MARTIN,PILAR,173605,2018-03-01
591,SAN MARTIN,PALERMO,212387,2018-03-01
592,ROCA,CONSTITUCION,4433183,2018-03-01
593,SAN MARTIN,MUNIZ,74759,2018-03-01
594,SAN MARTIN,RETIRO,323981,2018-03-01
595,ROCA,CLAYPOLE,317669,2018-03-01
596,ROCA,HAEDO,3103,2018-03-01
597,ROCA,DON BOSCO,18790,2018-03-01
598,MITRE,TIGRE,322292,2018-03-01
599,SAN MARTIN,V. DEVOTO,131166,2018-03-01
600,SAN MARTIN,J.C. PAZ,558539,2018-03-01
601,ROCA,PEREYRA,3330,2018-03-01
602,ROCA,PLATANOS,58880,2018-03-01
603,SARMIENTO,CIUDADELA,124795,2018-03-01
604,ROCA,QUILMES,303744,2018-03-01
605,MITRE,VICTORIA ELECT,80277,2018-03-01
606,SARMIENTO,ESTACION 25,43,2018-03-01
607,ROCA,RANELAGH,8354,2018-03-01
608,ROCA,RINGUELET,901,2018-03-01
609,SARMIENTO,ESTACION 29,80,2018-03-01
610,ROCA,MONTE GRANDE,600829,2018-03-01
611,ROCA,SAN JUSTO,294,2018-03-01
612,ROCA,SANTA SOFIA,14171,2018-03-01
613,SARMIENTO,FLORES,260618,2018-03-01
614,ROCA,SARANDI,43424,2018-03-01
615,MITRE,VICENTE LOPEZ,97217,2018-03-01
616,SAN MARTIN,CABRED,4122,2018-03-01
617,ROCA,SOURIGUES,15600,2018-03-01
618,MITRE,V. BALLESTER,167863,2018-03-01
619,ROCA,SPEGAZZINI,11077,2018-03-01
620,ROCA,TABLADA,22,2018-03-01
621,ROCA,GERLI,162037,2018-03-01
622,ROCA,ARDIGO,114003,2018-03-01
623,SAN MARTIN,CHACARITA,125933,2018-03-01
624,MITRE,ZARATE,1255,2018-03-01
625,ROCA,L. GUILLON,147715,2018-03-01
626,SAN MARTIN,HURLINGHAM,103388,2018-03-01
627,ROCA,ALTAMIRANO,7,2018-03-01
628,ROCA,LA PLATA,303502,2018-03-01
629,ROCA,LANUS,952945,2018-03-01
630,ROCA,ADROGUE,286955,2018-03-01
631,ROCA,A.KORN,224674,2018-03-01
632,ROCA,LEVENE,228,2018-03-01
633,SAN MARTIN,V. PARQUE,187768,2018-03-01
634,MITRE,VIRREYES,148083,2018-03-01
635,ROCA,A. PETION,6516,2018-03-01
636,ROCA,LLAVALLOL,97035,2018-03-01
637,ROCA,LONGCHAMPS,540516,2018-03-01
638,ROCA,A. DE ELIA,33,2018-03-01
639,ROCA,MAXIMO PAZ,9205,2018-03-01
640,SARMIENTO,CABALLITO,172207,2018-03-01
641,SARMIENTO,CASTELAR,241174,2018-03-01
642,MITRE,ZELAYA,102,2018-03-01
643,ROCA,MONTE,188,2018-03-01
644,SAN MARTIN,DERQUI,187573,2018-03-01
645,SAN MARTIN,W. MORRIS,72317,2018-03-01
646,SAN MARTIN,CASEROS,185817,2018-03-01
647,BELGRANO SUR,V.LUGANO,47217,2018-03-01
648,MITRE,CARUPA,109718,2018-03-01
649,BELGRANO SUR,TAPIALES,35161,2018-03-01
650,BELGRANO SUR,SAENZ,150994,2018-03-01
651,BELGRANO SUR,QUERANDI,26001,2018-03-01
652,BELGRANO SUR,MERLO GOMEZ,24177,2018-03-01
653,BELGRANO SUR,MENDEVILLE,7192,2018-03-01
654,BELGRANO SUR,M. BELGRANO,45265,2018-03-01
655,BELGRANO SUR,LIBERTAD,28403,2018-03-01
656,BELGRANO SUR,KM. 12,2729,2018-03-01
657,BELGRANO SUR,J. INGENIEROS,4807,2018-03-01
658,BELGRANO SUR,INDEPENDENCIA,133916,2018-03-01
659,BELGRANO SUR,ILLIA,15094,2018-03-01
660,BELGRANO SUR,I. CASANOVA,23148,2018-03-01
661,BELGRANO SUR,G. CATAN,189669,2018-03-01
662,BELGRANO SUR,FOURNIER,32656,2018-03-01
663,BELGRANO SUR,EVA DUARTE,44979,2018-03-01
664,BELGRANO SUR,CASTILLO,35537,2018-03-01
665,BELGRANO SUR,CASTELLO,57810,2018-03-01
666,BELGRANO SUR,BUENOS AIRES,146801,2018-03-01
667,BELGRANO SUR,ALDO BONZI,4595,2018-03-01
668,BELGRANO SUR,V. MADERO,71254,2018-03-01
669,BELGRANO SUR,V. SOLDATI,29010,2018-03-01
670,BELGRANO SUR,LAFERRERE,214812,2018-03-01
671,MITRE,BELGRANO C.,375142,2018-03-01
672,MITRE,ACASSUSO,63676,2018-03-01
673,MITRE,3 DE FEBRERO,38597,2018-03-01
674,BELGRANO SUR,VILLEGAS,6357,2018-03-01
675,MITRE,BENAVIDEZ,750,2018-03-01
676,MITRE,BELGRANO R.,199074,2018-03-01
677,MITRE,CARRANZA,201738,2018-03-01
678,MITRE,BECCAR,69106,2018-03-01
679,MITRE,NUNEZ,97866,2018-04-01
680,MITRE,MITRE,65601,2018-04-01
681,ROCA,PEREYRA,2738,2018-04-01
682,ROCA,TABLADA,351,2018-04-01
683,ROCA,MONTE GRANDE,573857,2018-04-01
684,MITRE,CENTRANGOLO,16166,2018-04-01
685,ROCA,PLATANOS,61738,2018-04-01
686,MITRE,MATHEU,1337,2018-04-01
687,ROCA,QUILMES,286125,2018-04-01
688,MITRE,MIGUELETES,24471,2018-04-01
689,SARMIENTO,CIUDADELA,116189,2018-04-01
690,MITRE,PUEYRREDON,72970,2018-04-01
691,ROCA,V. CASARES,348,2018-04-01
692,SARMIENTO,ESTACION 25,32,2018-04-01
693,MITRE,RETIRO (SUAREZ-MITRE),611618,2018-04-01
694,ROCA,MONTE,334,2018-04-01
695,MITRE,RETIRO (TIGRE),666593,2018-04-01
696,ROCA,MAXIMO PAZ,12463,2018-04-01
697,MITRE,RIVADAVIA,92167,2018-04-01
698,SARMIENTO,ESTACION 29,111,2018-04-01
699,MITRE,SAAVEDRA,45206,2018-04-01
700,ROCA,LONGCHAMPS,512007,2018-04-01
701,ROCA,LLAVALLOL,95804,2018-04-01
702,MITRE,SAN ANDRES,32264,2018-04-01
703,MITRE,SAN FERNANDO,88824,2018-04-01
704,SARMIENTO,ESTACION 31,490,2018-04-01
705,MITRE,OLIVOS,79918,2018-04-01
706,ROCA,U. FERROVIARIA,111,2018-04-01
707,MITRE,COGHLAN,33937,2018-04-01
708,MITRE,MAQ. SAVIO,2223,2018-04-01
709,ROCA,TOLOSA,13721,2018-04-01
710,MITRE,FLORIDA,21099,2018-04-01
711,MITRE,GARIN,550,2018-04-01
712,MITRE,ESCOBAR,3806,2018-04-01
713,ROCA,SPEGAZZINI,11632,2018-04-01
714,ROCA,SOURIGUES,14360,2018-04-01
715,MITRE,EL TALAR,65,2018-04-01
716,ROCA,SARANDI,41607,2018-04-01
717,SAN MARTIN,W. MORRIS,62814,2018-04-01
718,MITRE,JOSE LEON SUAREZ,242253,2018-04-01
719,MITRE,JUAN B. JUSTO,22169,2018-04-01
720,ROCA,SANTA SOFIA,14493,2018-04-01
721,MITRE,MARTINEZ,161648,2018-04-01
722,MITRE,LA LUCILA,58104,2018-04-01
723,MITRE,LOS CARDALES,203,2018-04-01
724,SARMIENTO,CABALLITO,166892,2018-04-01
725,ROCA,TRISTAN SUAREZ,19480,2018-04-01
726,SARMIENTO,ESTACION 32,1658,2018-04-01
727,SARMIENTO,CASTELAR,234841,2018-04-01
728,MITRE,MALAVER,29265,2018-04-01
729,MITRE,DRAGO,70398,2018-04-01
730,MITRE,COLEGIALES,97956,2018-04-01
731,ROCA,TURDERA,100610,2018-04-01
732,ROCA,RINGUELET,6430,2018-04-01
733,ROCA,TEMPERLEY,294339,2018-04-01
734,ROCA,RANELAGH,7810,2018-04-01
735,ROCA,SAN JUSTO,519,2018-04-01
736,ROCA,LEVENE,199,2018-04-01
737,MITRE,ZARATE,1258,2018-04-01
738,ROCA,LANUS,935272,2018-04-01
739,ROCA,BOSQUES,78039,2018-04-01
740,SARMIENTO,FLORES,236102,2018-04-01
741,ROCA,H. ESPANOL,8,2018-04-01
742,ROCA,GUTIERREZ,7686,2018-04-01
743,ROCA,GUERNICA,132969,2018-04-01
744,ROCA,BRANDSEN,1166,2018-04-01
745,ROCA,GONNET,19091,2018-04-01
746,ROCA,BRIAN,2,2018-04-01
747,SARMIENTO,FLORESTA,120474,2018-04-01
748,ROCA,GLEW,646409,2018-04-01
749,ROCA,GERLI,152492,2018-04-01
750,ROCA,BURZACO,514764,2018-04-01
751,ROCA,HAEDO,3077,2018-04-01
752,ROCA,CALZADA,156206,2018-04-01
753,ROCA,EZPELETA,166481,2018-04-01
754,SARMIENTO,HAEDO,153919,2018-04-01
755,SARMIENTO,ITUZAINGO,270667,2018-04-01
756,ROCA,EZEIZA,512917,2018-04-01
757,ROCA,ESCALADA,149413,2018-04-01
758,ROCA,EL JAGUEL,196087,2018-04-01
759,ROCA,DON BOSCO,28189,2018-04-01
760,ROCA,DARIO Y MAXI,283771,2018-04-01
761,ROCA,CONSTITUCION,4255949,2018-04-01
762,ROCA,CANUELAS,27369,2018-04-01
763,ROCA,CLAYPOLE,292148,2018-04-01
764,ROCA,CHASCOMUS,3414,2018-04-01
765,ROCA,F. VARELA,235787,2018-04-01
766,MITRE,SAN ISIDRO,296800,2018-04-01
767,ROCA,HUDSON,57849,2018-04-01
768,ROCA,BERNAL,88423,2018-04-01
769,MITRE,SAN MARTIN,247564,2018-04-01
770,MITRE,TIGRE,281247,2018-04-01
771,MITRE,URQUIZA,238060,2018-04-01
772,ROCA,LA PLATA,325178,2018-04-01
773,ROCA,L. GUILLON,150536,2018-04-01
774,SARMIENTO,ESTACION 33,4452,2018-04-01
775,MITRE,V. BALLESTER,162396,2018-04-01
776,MITRE,VICENTE LOPEZ,87939,2018-04-01
777,ROCA,L. DE ZAMORA,1114096,2018-04-01
778,MITRE,VICTORIA ELECT,78539,2018-04-01
779,MITRE,VIRREYES,142939,2018-04-01
780,ROCA,KM. 34,4,2018-04-01
781,SARMIENTO,ESTACION 40,1321,2018-04-01
782,MITRE,CARUPA,103461,2018-04-01
783,SARMIENTO,ESTACION 36,5857,2018-04-01
784,ROCA,KM. 33,2,2018-04-01
785,ROCA,A. DE ELIA,30,2018-04-01
786,ROCA,A. PETION,6187,2018-04-01
787,ROCA,KLOOSTERMAN,102,2018-04-01
788,ROCA,A.KORN,206044,2018-04-01
789,ROCA,ADROGUE,280311,2018-04-01
790,ROCA,ARDIGO,123272,2018-04-01
791,ROCA,BANFIELD,572263,2018-04-01
792,ROCA,JUAN XXIII,6,2018-04-01
793,ROCA,J. MARMOL,75084,2018-04-01
794,ROCA,BERAZATEGUI,261504,2018-04-01
795,MITRE,ZELAYA,294,2018-04-01
796,ROCA,V. DOMINICO,26604,2018-04-01
797,MITRE,CHILAVERT,52030,2018-04-01
798,ROCA,CITY BELL,47666,2018-04-01
799,SARMIENTO,MERLO,864278,2018-04-01
800,BELGRANO SUR,ILLIA,16699,2018-04-01
801,BELGRANO SUR,INDEPENDENCIA,129343,2018-04-01
802,SAN MARTIN,DERQUI,148161,2018-04-01
803,BELGRANO SUR,J. INGENIEROS,4839,2018-04-01
804,BELGRANO SUR,KM. 12,2932,2018-04-01
805,SARMIENTO,LINIERS,105428,2018-04-01
806,BELGRANO SUR,LAFERRERE,209207,2018-04-01
807,BELGRANO SUR,LIBERTAD,30177,2018-04-01
808,SAN MARTIN,CHACARITA,121634,2018-04-01
809,SAN MARTIN,CASEROS,169413,2018-04-01
810,BELGRANO SUR,M. BELGRANO,47455,2018-04-01
811,BELGRANO SUR,MENDEVILLE,6875,2018-04-01
812,SAN MARTIN,RETIRO,319116,2018-04-01
813,SAN MARTIN,MUNIZ,71894,2018-04-01
814,BELGRANO SUR,MERLO GOMEZ,23656,2018-04-01
815,BELGRANO SUR,QUERANDI,23678,2018-04-01
816,SARMIENTO,MORENO,836496,2018-04-01
817,SAN MARTIN,PATERNAL,21706,2018-04-01
818,SAN MARTIN,S. LUGARES,28289,2018-04-01
819,SAN MARTIN,HURLINGHAM,94406,2018-04-01
820,BELGRANO SUR,ALDO BONZI,4716,2018-04-01
821,BELGRANO SUR,BUENOS AIRES,143198,2018-04-01
822,SAN MARTIN,MANZANARES,955,2018-04-01
823,SAN MARTIN,J.C. PAZ,465081,2018-04-01
824,SARMIENTO,VILLA LURO,87460,2018-04-01
825,SARMIENTO,S.A DE PADUA,296342,2018-04-01
826,BELGRANO SUR,CASTELLO,52274,2018-04-01
827,BELGRANO SUR,CASTILLO,41063,2018-04-01
828,SARMIENTO,RAMOS MEJIA,377091,2018-04-01
829,SARMIENTO,PASO DEL REY,225809,2018-04-01
830,SAN MARTIN,SAENZ PENA,103976,2018-04-01
831,BELGRANO SUR,EVA DUARTE,43770,2018-04-01
832,BELGRANO SUR,FOURNIER,35867,2018-04-01
833,SAN MARTIN,SAN MIGUEL,318332,2018-04-01
834,SARMIENTO,ONCE,1503214,2018-04-01
835,SARMIENTO,MORON,844875,2018-04-01
836,BELGRANO SUR,G. CATAN,172424,2018-04-01
837,BELGRANO SUR,I. CASANOVA,24505,2018-04-01
838,SAN MARTIN,CABRED,1848,2018-04-01
839,SAN MARTIN,SOL Y VERDE,68023,2018-04-01
840,SAN MARTIN,B. VISTA,119408,2018-04-01
841,SAN MARTIN,ASTOLFI,13650,2018-04-01
842,BELGRANO SUR,V.LUGANO,85419,2018-04-01
843,ROCA,ZEBALLOS,85365,2018-04-01
844,MITRE,3 DE FEBRERO,40878,2018-04-01
845,SAN MARTIN,PALOMAR,103501,2018-04-01
846,MITRE,ACASSUSO,57336,2018-04-01
847,ROCA,YRIGOYEN,95140,2018-04-01
848,SAN MARTIN,PILAR,141452,2018-04-01
849,ROCA,WILDE,53626,2018-04-01
850,MITRE,BECCAR,65819,2018-04-01
851,SAN MARTIN,V. PARQUE,177710,2018-04-01
852,MITRE,BELGRANO C.,274283,2018-04-01
853,ROCA,VILLA ESPANA,12194,2018-04-01
854,MITRE,BELGRANO R.,187283,2018-04-01
855,MITRE,BENAVIDEZ,750,2018-04-01
856,MITRE,CARRANZA,198604,2018-04-01
857,ROCA,VILLA ELISA,39175,2018-04-01
858,SAN MARTIN,PALERMO,209657,2018-04-01
859,BELGRANO SUR,V. SOLDATI,29837,2018-04-01
860,BELGRANO SUR,VILLEGAS,7896,2018-04-01
861,BELGRANO SUR,SAENZ,147563,2018-04-01
862,BELGRANO SUR,TAPIALES,32839,2018-04-01
863,SAN MARTIN,V. DEVOTO,122806,2018-04-01
864,BELGRANO SUR,V. MADERO,68746,2018-04-01
865,BELGRANO SUR,LIBERTAD,30165,2018-05-01
866,MITRE,BELGRANO C.,304036,2018-05-01
867,BELGRANO SUR,ILLIA,18297,2018-05-01
868,BELGRANO SUR,M. BELGRANO,46001,2018-05-01
869,ROCA,BURZACO,539365,2018-05-01
870,ROCA,ALTAMIRANO,2,2018-05-01
871,ROCA,DON BOSCO,48158,2018-05-01
872,MITRE,3 DE FEBRERO,66027,2018-05-01
873,BELGRANO SUR,I. CASANOVA,26127,2018-05-01
874,BELGRANO SUR,G. CATAN,172624,2018-05-01
875,ROCA,CALZADA,161722,2018-05-01
876,ROCA,EL JAGUEL,203824,2018-05-01
877,MITRE,CENTRANGOLO,17713,2018-05-01
878,BELGRANO SUR,MENDEVILLE,7038,2018-05-01
879,BELGRANO SUR,V. MADERO,70251,2018-05-01
880,MITRE,BECCAR,70483,2018-05-01
881,BELGRANO SUR,V. SOLDATI,35226,2018-05-01
882,BELGRANO SUR,MERLO GOMEZ,25896,2018-05-01
883,ROCA,ARDIGO,134480,2018-05-01
884,ROCA,DARIO Y MAXI,290960,2018-05-01
885,ROCA,BRANDSEN,1135,2018-05-01
886,BELGRANO SUR,LAFERRERE,202769,2018-05-01
887,MITRE,BENAVIDEZ,559,2018-05-01
888,ROCA,BERNAL,84417,2018-05-01
889,ROCA,BOSQUES,77285,2018-05-01
890,ROCA,BERAZATEGUI,261221,2018-05-01
891,MITRE,BELGRANO R.,199043,2018-05-01
892,BELGRANO SUR,KM. 12,3132,2018-05-01
893,ROCA,CITY BELL,48738,2018-05-01
894,ROCA,CLAYPOLE,247534,2018-05-01
895,MITRE,ACASSUSO,61376,2018-05-01
896,BELGRANO SUR,QUERANDI,25982,2018-05-01
897,BELGRANO SUR,J. INGENIEROS,4552,2018-05-01
898,ROCA,CANUELAS,27167,2018-05-01
899,BELGRANO SUR,TAPIALES,34914,2018-05-01
900,ROCA,CONSTITUCION,4431776,2018-05-01
901,BELGRANO SUR,SAENZ,258638,2018-05-01
902,BELGRANO SUR,FOURNIER,35662,2018-05-01
903,MITRE,CARRANZA,216064,2018-05-01
904,BELGRANO SUR,INDEPENDENCIA,128390,2018-05-01
905,MITRE,CARUPA,90925,2018-05-01
906,ROCA,CHASCOMUS,2591,2018-05-01
907,ROCA,BANFIELD,603721,2018-05-01
908,ROCA,ADROGUE,297174,2018-05-01
909,MITRE,MAQ. SAVIO,2579,2018-05-01
910,BELGRANO SUR,EVA DUARTE,42184,2018-05-01
911,MITRE,ESCOBAR,3581,2018-05-01
912,MITRE,RIVADAVIA,78144,2018-05-01
913,MITRE,RETIRO (TIGRE),807942,2018-05-01
914,BELGRANO NORTE,ING. P. NOGUES,30166,2018-05-01
915,MITRE,RETIRO (SUAREZ-MITRE),690647,2018-05-01
916,MITRE,FLORIDA,24122,2018-05-01
917,BELGRANO NORTE,GRAND BOURG,43225,2018-05-01
918,MITRE,PUEYRREDON,78662,2018-05-01
919,MITRE,GARIN,1792,2018-05-01
920,MITRE,OLIVOS,84128,2018-05-01
921,MITRE,NUNEZ,105108,2018-05-01
922,MITRE,JOSE LEON SUAREZ,253949,2018-05-01
923,BELGRANO NORTE,BOULOGNE SUR,33243,2018-05-01
924,BELGRANO NORTE,A. DEL VALLE ,34829,2018-05-01
925,MITRE,JUAN B. JUSTO,27343,2018-05-01
926,MITRE,MITRE,67243,2018-05-01
927,MITRE,LA LUCILA,62158,2018-05-01
928,MITRE,MIGUELETES,25662,2018-05-01
929,MITRE,MATHEU,1489,2018-05-01
930,MITRE,LOPEZ CAMELO,939,2018-05-01
931,ROCA,ESCALADA,154302,2018-05-01
932,MITRE,MARTINEZ,175173,2018-05-01
933,MITRE,MALAVER,31096,2018-05-01
934,BELGRANO NORTE,MUNRO,9012,2018-05-01
935,MITRE,SAAVEDRA,48630,2018-05-01
936,MITRE,SAN ANDRES,34991,2018-05-01
937,MITRE,SAN FERNANDO,87339,2018-05-01
938,ROCA,A. PETION,5788,2018-05-01
939,BELGRANO SUR,CASTILLO,40874,2018-05-01
940,ROCA,A. DE ELIA,21,2018-05-01
941,MITRE,CHILAVERT,55386,2018-05-01
942,MITRE,ZELAYA,351,2018-05-01
943,MITRE,ZARATE,1030,2018-05-01
944,BELGRANO SUR,CASTELLO,51868,2018-05-01
945,MITRE,VIRREYES,149894,2018-05-01
946,MITRE,VICTORIA ELECT,84480,2018-05-01
947,MITRE,VICENTE LOPEZ,95774,2018-05-01
948,BELGRANO SUR,V.LUGANO,91999,2018-05-01
949,ROCA,A.KORN,207548,2018-05-01
950,BELGRANO SUR,BUENOS AIRES,13922,2018-05-01
951,MITRE,URQUIZA,256814,2018-05-01
952,BELGRANO SUR,ALDO BONZI,4287,2018-05-01
953,MITRE,TIGRE,299357,2018-05-01
954,MITRE,COLEGIALES,104048,2018-05-01
955,BELGRANO NORTE,VILLA ADELINA,13184,2018-05-01
956,MITRE,SAN MARTIN,262006,2018-05-01
957,MITRE,SAN ISIDRO,316073,2018-05-01
958,BELGRANO NORTE,RETIRO,103194,2018-05-01
959,MITRE,DRAGO,71092,2018-05-01
960,BELGRANO NORTE,R. S. ORTIZ,12814,2018-05-01
961,MITRE,EL TALAR,61,2018-05-01
962,MITRE,COGHLAN,35925,2018-05-01
963,MITRE,V. BALLESTER,166656,2018-05-01
964,ROCA,GONNET,20058,2018-05-01
965,ROCA,RANELAGH,7981,2018-05-01
966,ROCA,TOLOSA,268,2018-05-01
967,ROCA,TRISTAN SUAREZ,19967,2018-05-01
968,ROCA,TURDERA,107897,2018-05-01
969,ROCA,U. FERROVIARIA,163,2018-05-01
970,ROCA,V. CASARES,165,2018-05-01
971,ROCA,V. DOMINICO,28949,2018-05-01
972,ROCA,VILLA ELISA,38895,2018-05-01
973,ROCA,VILLA ESPANA,11038,2018-05-01
974,ROCA,WILDE,74359,2018-05-01
975,ROCA,YRIGOYEN,99207,2018-05-01
976,ROCA,ZEBALLOS,86254,2018-05-01
977,SAN MARTIN,ASTOLFI,13627,2018-05-01
978,SAN MARTIN,B. VISTA,118878,2018-05-01
979,SAN MARTIN,CABRED,1964,2018-05-01
980,SAN MARTIN,CASEROS,173644,2018-05-01
981,ROCA,TEMPERLEY,309513,2018-05-01
982,ROCA,TABLADA,418,2018-05-01
983,ROCA,SPEGAZZINI,11616,2018-05-01
984,ROCA,SOURIGUES,13567,2018-05-01
985,ROCA,LA NORIA,2,2018-05-01
986,ROCA,LA PLATA,328041,2018-05-01
987,ROCA,LANUS,960820,2018-05-01
988,ROCA,LEVENE,128,2018-05-01
989,ROCA,LLAVALLOL,98971,2018-05-01
990,ROCA,LONGCHAMPS,534160,2018-05-01
991,ROCA,MAXIMO PAZ,12355,2018-05-01
992,SAN MARTIN,CHACARITA,87688,2018-05-01
993,ROCA,MONTE,322,2018-05-01
994,ROCA,PEREYRA,1788,2018-05-01
995,ROCA,PLATANOS,62955,2018-05-01
996,ROCA,QUILMES,288299,2018-05-01
997,ROCA,RINGUELET,7793,2018-05-01
998,ROCA,SAN JUSTO,358,2018-05-01
999,ROCA,SANTA SOFIA,15699,2018-05-01
1000,ROCA,SARANDI,42539,2018-05-01
1001,ROCA,MONTE GRANDE,587613,2018-05-01
1002,SAN MARTIN,DERQUI,156406,2018-05-01
1003,SAN MARTIN,HURLINGHAM,99528,2018-05-01
1004,SAN MARTIN,J.C. PAZ,489771,2018-05-01
1005,SAN MARTIN,V. PARQUE,238013,2018-05-01
1006,SARMIENTO,LINIERS,132972,2018-05-01
1007,SAN MARTIN,W. MORRIS,64595,2018-05-01
1008,SARMIENTO,ITUZAINGO,296294,2018-05-01
1009,SARMIENTO,CABALLITO,206083,2018-05-01
1010,SARMIENTO,CASTELAR,265268,2018-05-01
1011,SARMIENTO,CIUDADELA,126925,2018-05-01
1012,SAN MARTIN,V. DEVOTO,129948,2018-05-01
1013,SARMIENTO,HAEDO,175577,2018-05-01
1014,SARMIENTO,FLORESTA,137766,2018-05-01
1015,SARMIENTO,ESTACION 29,508,2018-05-01
1016,SARMIENTO,ESTACION 31,295,2018-05-01
1017,SARMIENTO,FLORES,264499,2018-05-01
1018,SARMIENTO,ESTACION 32,2317,2018-05-01
1019,SARMIENTO,ESTACION 33,7565,2018-05-01
1020,SARMIENTO,ESTACION 40,2558,2018-05-01
1021,SARMIENTO,ESTACION 25,194,2018-05-01
1022,ROCA,L. GUILLON,154345,2018-05-01
1023,SARMIENTO,MERLO,969277,2018-05-01
1024,SAN MARTIN,SOL Y VERDE,75446,2018-05-01
1025,SAN MARTIN,MANZANARES,895,2018-05-01
1026,SAN MARTIN,MUNIZ,73544,2018-05-01
1027,SAN MARTIN,PALERMO,151926,2018-05-01
1028,SARMIENTO,VILLA LURO,101345,2018-05-01
1029,SAN MARTIN,PALOMAR,108773,2018-05-01
1030,SAN MARTIN,PATERNAL,15733,2018-05-01
1031,SAN MARTIN,PILAR,146086,2018-05-01
1032,SARMIENTO,MORENO,907732,2018-05-01
1033,SARMIENTO,S.A DE PADUA,295652,2018-05-01
1034,SARMIENTO,PASO DEL REY,181401,2018-05-01
1035,SAN MARTIN,RETIRO,230933,2018-05-01
1036,SAN MARTIN,S. LUGARES,26072,2018-05-01
1037,SARMIENTO,ONCE,1744599,2018-05-01
1038,SAN MARTIN,SAENZ PENA,107936,2018-05-01
1039,SAN MARTIN,SAN MIGUEL,340021,2018-05-01
1040,SARMIENTO,MORON,963851,2018-05-01
1041,SARMIENTO,RAMOS MEJIA,454491,2018-05-01
1042,ROCA,L. DE ZAMORA,1175425,2018-05-01
1043,BELGRANO SUR,VILLEGAS,6633,2018-05-01
1044,ROCA,KLOOSTERMAN,143,2018-05-01
1045,SARMIENTO,ESTACION 36,8541,2018-05-01
1046,ROCA,GUTIERREZ,7786,2018-05-01
1047,ROCA,KM. 33,7,2018-05-01
1048,ROCA,GLEW,665065,2018-05-01
1049,ROCA,HUDSON,58973,2018-05-01
1050,ROCA,GERLI,160892,2018-05-01
1051,ROCA,H. ESPANOL,1,2018-05-01
1052,ROCA,KM. 34,2,2018-05-01
1053,ROCA,JEPPENER,1,2018-05-01
1054,ROCA,JUAN XXIII,15,2018-05-01
1055,ROCA,GUERNICA,134123,2018-05-01
1056,ROCA,J. MARMOL,65278,2018-05-01
