INDEX,LINEA,ESTACION,TOTAL,FECHA
107,SARMIENTO,CIUDADELA,14091,2017-05-01
108,ROCA,J. MARMOL,70933,2017-05-01
109,ROCA,ARDIGO,50972,2017-05-01
110,ROCA,CONSTITUCION,3309393,2017-05-01
111,SARMIENTO,S.A. DE PADUA,190795,2017-05-01
112,MITRE,L. DE LA TORRE,62278,2017-05-01
113,MITRE,FLORIDA,15855,2017-05-01
114,MITRE,JOSE LEON SUAREZ,205224,2017-05-01
115,MITRE,LA LUCILA,61515,2017-05-01
116,MITRE,JUAN B. JUSTO,2392,2017-05-01
117,ROCA,DARIO Y MAXI,218384,2017-05-01
118,ROCA,L. DE ZAMORA,900488,2017-05-01
119,ROCA,LA PLATA,1849,2017-05-01
120,SARMIENTO,VILLA LURO,116788,2017-05-01
121,ROCA,CLAYPOLE,310578,2017-05-01
122,ROCA,L. GUILLON,117456,2017-05-01
123,MITRE,DRAGO,28806,2017-05-01
124,SARMIENTO,RAMOS MEJIA,137735,2017-05-01
125,BELGRANO SUR,LIBERTAD,20442,2018-01-01
126,SAN MARTIN,MANZANARES,3275,2018-01-01
127,ROCA,TOLOSA,2450,2018-01-01
128,ROCA,TEMPERLEY,220960,2018-01-01
129,BELGRANO SUR,CASTILLO,27244,2018-01-01
130,ROCA,V. DOMINICO,23707,2018-01-01
131,ROCA,RINGUELET,151,2018-01-01
132,ROCA,RANELAGH,10123,2018-01-01
133,BELGRANO SUR,M. BELGRANO,36728,2018-01-01
134,SAN MARTIN,ASTOLFI,20642,2018-01-01
135,ROCA,QUILMES,267089,2018-01-01
136,SAN MARTIN,MUNIZ,63295,2018-01-01
137,ROCA,PLATANOS,36497,2018-01-01
138,BELGRANO SUR,CASTELLO,38806,2018-01-01
139,BELGRANO SUR,MENDEVILLE,7807,2018-01-01
140,BELGRANO SUR,CARAZA,1,2018-01-01
141,SAN MARTIN,PALERMO,105913,2018-01-01
142,ROCA,TURDERA,80509,2018-01-01
143,BELGRANO SUR,MERLO GOMEZ,20046,2018-01-01
144,ROCA,V. CASARES,438,2018-01-01
145,SAN MARTIN,PALOMAR,83612,2018-01-01
146,ROCA,PEREYRA,144,2018-01-01
147,BELGRANO SUR,BUENOS AIRES,132023,2018-01-01
148,BELGRANO SUR,PUENTE ALSINA,1,2018-01-01
149,BELGRANO SUR,QUERANDI,14847,2018-01-01
150,ROCA,TRISTAN SUAREZ,17602,2018-01-01
151,SAN MARTIN,J.C. PAZ,503972,2018-01-01
152,SARMIENTO,VILLA LURO,109364,2018-01-01
153,BELGRANO SUR,LAFERRERE,191408,2018-01-01
154,ROCA,STA. CATALINA,3,2018-01-01
155,ROCA,TABLADA,46,2018-01-01
156,BELGRANO SUR,G. CATAN,171024,2018-01-01
157,ROCA,YRIGOYEN,79851,2018-01-01
158,ROCA,SPEGAZZINI,9164,2018-01-01
159,SAN MARTIN,B. VISTA,108753,2018-01-01
160,ROCA,WILDE,48023,2018-01-01
161,BELGRANO SUR,I. CASANOVA,18492,2018-01-01
162,MITRE,TIGRE,329384,2018-01-01
163,ROCA,SOURIGUES,16967,2018-01-01
164,SAN MARTIN,CASEROS,160911,2018-01-01
165,BELGRANO SUR,FOURNIER,27231,2018-01-01
166,BELGRANO SUR,ALDO BONZI,6277,2018-01-01
167,ROCA,SAN JUSTO,250,2018-01-01
168,BELGRANO SUR,ILLIA,14237,2018-01-01
169,SAN MARTIN,CHACARITA,74324,2018-01-01
170,ROCA,VUCETICH,3,2018-01-01
171,ROCA,VILLA ESPANA,18881,2018-01-01
172,ROCA,SARANDI,34411,2018-01-01
173,BELGRANO SUR,ING. BUDGE,1,2018-01-01
174,SAN MARTIN,DERQUI,160820,2018-01-01
175,BELGRANO SUR,EVA DUARTE,35880,2018-01-01
176,BELGRANO SUR,J. INGENIEROS,3897,2018-01-01
177,SAN MARTIN,HURLINGHAM,95461,2018-01-01
178,ROCA,SANTA SOFIA,15071,2018-01-01
179,ROCA,ZEBALLOS,71140,2018-01-01
180,ROCA,VILLA ELISA,30596,2018-01-01
181,BELGRANO SUR,LA SALADA,1,2018-01-01
182,BELGRANO SUR,INDEPENDENCIA,106633,2018-01-01
183,ROCA,U. FERROVIARIA,136,2018-01-01
184,SAN MARTIN,CABRED,4816,2018-01-01
185,BELGRANO SUR,SAENZ,129214,2018-01-01
186,MITRE,MATHEU,1029,2018-01-01
187,ROCA,BERAZATEGUI,205091,2018-01-01
188,MITRE,MARTINEZ,144332,2018-01-01
189,ROCA,BERNAL,69207,2018-01-01
190,MITRE,MAQ. SAVIO,744,2018-01-01
191,ROCA,BOSQUES,83485,2018-01-01
192,MITRE,MALAVER,22059,2018-01-01
193,ROCA,BRANDSEN,2443,2018-01-01
194,ROCA,BURZACO,441152,2018-01-01
195,ROCA,CALZADA,134707,2018-01-01
196,MITRE,LOS CARDALES,281,2018-01-01
197,ROCA,CANUELAS,27399,2018-01-01
198,ROCA,CHASCOMUS,9536,2018-01-01
199,MITRE,LA LUCILA,45732,2018-01-01
200,ROCA,CITY BELL,30835,2018-01-01
201,MITRE,JUAN B. JUSTO,11846,2018-01-01
202,ROCA,CLAYPOLE,248356,2018-01-01
203,MITRE,JOSE LEON SUAREZ,226882,2018-01-01
204,ROCA,CONSTITUCION,3850549,2018-01-01
205,MITRE,GARIN,394,2018-01-01
206,MITRE,FLORIDA,14349,2018-01-01
207,ROCA,BANFIELD,482772,2018-01-01
208,ROCA,DARIO Y MAXI,228105,2018-01-01
209,MITRE,MIGUELETES,10154,2018-01-01
210,MITRE,MITRE,58107,2018-01-01
211,MITRE,SAN ISIDRO,257746,2018-01-01
212,MITRE,URQUIZA,194373,2018-01-01
213,MITRE,SAN FERNANDO,67553,2018-01-01
214,MITRE,V. BALLESTER,124306,2018-01-01
215,MITRE,SAN ANDRES,21664,2018-01-01
216,MITRE,VICENTE LOPEZ,86358,2018-01-01
217,MITRE,SAAVEDRA,34400,2018-01-01
218,MITRE,VICTORIA ELECT,59135,2018-01-01
219,MITRE,VIRREYES,107785,2018-01-01
220,MITRE,RIVADAVIA,67882,2018-01-01
221,MITRE,ZARATE,1171,2018-01-01
222,MITRE,RETIRO (TIGRE),703313,2018-01-01
223,MITRE,RETIRO (SUAREZ-MITRE),610939,2018-01-01
224,ROCA,A. DE ELIA,45,2018-01-01
225,MITRE,PUEYRREDON,50293,2018-01-01
226,ROCA,A. PETION,4946,2018-01-01
227,ROCA,A.KORN,204521,2018-01-01
228,MITRE,OLIVOS,57037,2018-01-01
229,ROCA,ADROGUE,229322,2018-01-01
230,MITRE,NUNEZ,80899,2018-01-01
231,ROCA,ALTAMIRANO,1,2018-01-01
232,ROCA,ARDIGO,109570,2018-01-01
233,ROCA,MONTE GRANDE,493318,2018-01-01
234,MITRE,ESCOBAR,3406,2018-01-01
235,ROCA,EL JAGUEL,173079,2018-01-01
236,ROCA,KLOOSTERMAN,244,2018-01-01
237,MITRE,BELGRANO R.,139193,2018-01-01
238,ROCA,KM. 33,9,2018-01-01
239,ROCA,KM. 34,11,2018-01-01
240,MITRE,BELGRANO C.,341671,2018-01-01
241,MITRE,BECCAR,49799,2018-01-01
242,ROCA,L. DE ZAMORA,979112,2018-01-01
243,ROCA,L. GUILLON,110420,2018-01-01
244,MITRE,ACASSUSO,45371,2018-01-01
245,MITRE,3 DE FEBRERO,30416,2018-01-01
246,ROCA,LA PLATA,168304,2018-01-01
247,ROCA,LANUS,770324,2018-01-01
248,BELGRANO SUR,VILLEGAS,5895,2018-01-01
249,ROCA,LEVENE,186,2018-01-01
250,BELGRANO SUR,V.LUGANO,62652,2018-01-01
251,BELGRANO SUR,V. SOLDATI,23328,2018-01-01
252,BELGRANO SUR,V. MADERO,55854,2018-01-01
253,ROCA,LLAVALLOL,69851,2018-01-01
254,ROCA,LONGCHAMPS,390856,2018-01-01
255,ROCA,MAXIMO PAZ,10308,2018-01-01
256,BELGRANO SUR,TAPIALES,27896,2018-01-01
257,ROCA,JUAN XXIII,12,2018-01-01
258,ROCA,DON BOSCO,24806,2018-01-01
259,MITRE,BENAVIDEZ,490,2018-01-01
260,MITRE,CAPILLA DEL SENOR,11,2018-01-01
261,MITRE,EL TALAR,9,2018-01-01
262,MITRE,DRAGO,26907,2018-01-01
263,ROCA,ESCALADA,100255,2018-01-01
264,ROCA,EZEIZA,466073,2018-01-01
265,ROCA,EZPELETA,128715,2018-01-01
266,ROCA,F. VARELA,209377,2018-01-01
267,MITRE,COLEGIALES,72817,2018-01-01
268,ROCA,GERLI,135510,2018-01-01
269,ROCA,GLEW,579458,2018-01-01
270,ROCA,GONNET,16594,2018-01-01
271,ROCA,GUERNICA,102693,2018-01-01
272,MITRE,COGHLAN,29963,2018-01-01
273,MITRE,CHILAVERT,36905,2018-01-01
274,ROCA,GUTIERREZ,8553,2018-01-01
275,ROCA,H. ESPANOL,3,2018-01-01
276,MITRE,CENTRANGOLO,12816,2018-01-01
277,ROCA,HAEDO,3271,2018-01-01
278,MITRE,CARUPA,113577,2018-01-01
279,ROCA,HUDSON,42300,2018-01-01
280,ROCA,J. MARMOL,59555,2018-01-01
281,MITRE,CARRANZA,143802,2018-01-01
282,ROCA,JEPPENER,9,2018-01-01
283,SAN MARTIN,PATERNAL,215,2018-01-01
284,MITRE,SAN MARTIN,211457,2018-01-01
285,SARMIENTO,FLORES,118380,2018-01-01
286,SAN MARTIN,V. PARQUE,229702,2018-01-01
287,SAN MARTIN,SAN MIGUEL,352298,2018-01-01
288,SARMIENTO,ESTACION 29,142,2018-01-01
289,SARMIENTO,ITUZAINGO,202193,2018-01-01
290,SARMIENTO,ESTACION 32,314,2018-01-01
291,SAN MARTIN,SAENZ PENA,109019,2018-01-01
292,SAN MARTIN,V. DEVOTO,111249,2018-01-01
293,SARMIENTO,FLORESTA,213832,2018-01-01
294,SAN MARTIN,W. MORRIS,62647,2018-01-01
295,SARMIENTO,LINIERS,71426,2018-01-01
296,SARMIENTO,ESTACION 25,45,2018-01-01
297,SARMIENTO,CIUDADELA,72342,2018-01-01
298,SARMIENTO,HAEDO,312548,2018-01-01
299,SARMIENTO,ESTACION 33,1703,2018-01-01
300,SARMIENTO,MERLO,183540,2018-01-01
301,SARMIENTO,CABALLITO,357,2018-01-01
302,SAN MARTIN,PILAR,149059,2018-01-01
303,SARMIENTO,ONCE,1512095,2018-01-01
304,SARMIENTO,MORON,128046,2018-01-01
305,SARMIENTO,MORENO,157654,2018-01-01
306,SARMIENTO,RAMOS MEJIA,96526,2018-01-01
307,SAN MARTIN,RETIRO,182798,2018-01-01
308,SAN MARTIN,S. LUGARES,27431,2018-01-01
309,SARMIENTO,S.A DE PADUA,206342,2018-01-01
310,SARMIENTO,ESTACION 36,743,2018-01-01
311,SARMIENTO,MISERERE,715086,2018-01-01
312,SARMIENTO,PASO DEL REY,648616,2018-01-01
313,SAN MARTIN,SOL Y VERDE,97534,2018-01-01
314,SARMIENTO,CASTELAR,676037,2018-01-01
315,SARMIENTO,ESTACION 31,182,2018-01-01
316,ROCA,BURZACO,424676,2018-02-01
317,ROCA,CALZADA,131806,2018-02-01
318,ROCA,CHASCOMUS,12683,2018-02-01
319,ROCA,CANUELAS,25593,2018-02-01
320,SAN MARTIN,PALERMO,1207,2018-02-01
321,ROCA,BRANDSEN,1849,2018-02-01
322,ROCA,BOSQUES,68642,2018-02-01
323,ROCA,BERNAL,67156,2018-02-01
324,ROCA,CITY BELL,34668,2018-02-01
325,ROCA,BANFIELD,482117,2018-02-01
326,ROCA,ARDIGO,91162,2018-02-01
327,ROCA,ALTAMIRANO,5,2018-02-01
328,ROCA,ADROGUE,218885,2018-02-01
329,ROCA,A.KORN,197551,2018-02-01
330,ROCA,A. PETION,4882,2018-02-01
331,ROCA,BRIAN,3,2018-02-01
332,ROCA,BERAZATEGUI,190437,2018-02-01
333,ROCA,EZEIZA,429200,2018-02-01
334,ROCA,CONSTITUCION,3647869,2018-02-01
335,ROCA,MAXIMO PAZ,10755,2018-02-01
336,ROCA,LONGCHAMPS,407238,2018-02-01
337,ROCA,LLAVALLOL,70748,2018-02-01
338,ROCA,LEVENE,173,2018-02-01
339,ROCA,LANUS,730422,2018-02-01
340,ROCA,LA PLATA,237314,2018-02-01
341,ROCA,L. GUILLON,107367,2018-02-01
342,ROCA,L. DE ZAMORA,962047,2018-02-01
343,ROCA,KM. 34,9,2018-02-01
344,ROCA,KM. 33,15,2018-02-01
345,ROCA,KLOOSTERMAN,162,2018-02-01
346,ROCA,JUAN XXIII,12,2018-02-01
347,ROCA,J. MARMOL,59197,2018-02-01
348,ROCA,HUDSON,40376,2018-02-01
349,ROCA,H. ESPANOL,1,2018-02-01
350,ROCA,GUTIERREZ,5649,2018-02-01
351,ROCA,GUERNICA,99338,2018-02-01
352,ROCA,GONNET,18242,2018-02-01
353,ROCA,GLEW,554992,2018-02-01
354,ROCA,GERLI,125869,2018-02-01
355,ROCA,F. VARELA,213784,2018-02-01
356,ROCA,EZPELETA,122352,2018-02-01
357,ROCA,A. DE ELIA,30,2018-02-01
358,ROCA,ESCALADA,104700,2018-02-01
359,ROCA,EL JAGUEL,162635,2018-02-01
360,ROCA,DON BOSCO,21712,2018-02-01
361,ROCA,DARIO Y MAXI,222058,2018-02-01
362,ROCA,CLAYPOLE,254363,2018-02-01
363,MITRE,ZARATE,1661,2018-02-01
364,MITRE,TIGRE,322403,2018-02-01
365,MITRE,VICTORIA ELECT,59277,2018-02-01
366,MITRE,CAPILLA DEL SENOR,3,2018-02-01
367,MITRE,BENAVIDEZ,809,2018-02-01
368,MITRE,BELGRANO R.,145033,2018-02-01
369,MITRE,BELGRANO C.,273020,2018-02-01
370,MITRE,BECCAR,52760,2018-02-01
371,MITRE,ACASSUSO,46193,2018-02-01
372,MITRE,3 DE FEBRERO,31791,2018-02-01
373,BELGRANO SUR,VILLEGAS,5475,2018-02-01
374,BELGRANO SUR,V.LUGANO,37822,2018-02-01
375,BELGRANO SUR,V. SOLDATI,20481,2018-02-01
376,BELGRANO SUR,V. MADERO,48255,2018-02-01
377,BELGRANO SUR,TAPIALES,25230,2018-02-01
378,BELGRANO SUR,SAENZ,116232,2018-02-01
379,BELGRANO SUR,QUERANDI,14314,2018-02-01
380,MITRE,CARRANZA,151190,2018-02-01
381,BELGRANO SUR,ALDO BONZI,5698,2018-02-01
382,BELGRANO SUR,PUENTE ALSINA,1,2018-02-01
383,BELGRANO SUR,MERLO GOMEZ,19122,2018-02-01
384,BELGRANO SUR,MENDEVILLE,2376,2018-02-01
385,BELGRANO SUR,M. BELGRANO,27565,2018-02-01
386,BELGRANO SUR,CASTELLO,38130,2018-02-01
387,BELGRANO SUR,LIBERTAD,25668,2018-02-01
388,BELGRANO SUR,LAFERRERE,167371,2018-02-01
389,BELGRANO SUR,J. INGENIEROS,3740,2018-02-01
390,BELGRANO SUR,CASTILLO,27627,2018-02-01
391,BELGRANO SUR,INDEPENDENCIA,101469,2018-02-01
392,BELGRANO SUR,ILLIA,13506,2018-02-01
393,BELGRANO SUR,I. CASANOVA,19263,2018-02-01
394,BELGRANO SUR,G. CATAN,155446,2018-02-01
395,BELGRANO SUR,EVA DUARTE,33944,2018-02-01
396,BELGRANO SUR,BUENOS AIRES,125439,2018-02-01
397,MITRE,CARUPA,99876,2018-02-01
398,MITRE,CENTRANGOLO,13336,2018-02-01
399,MITRE,CHILAVERT,36632,2018-02-01
400,MITRE,VICENTE LOPEZ,79111,2018-02-01
401,MITRE,V. BALLESTER,120212,2018-02-01
402,MITRE,URQUIZA,193751,2018-02-01
403,MITRE,SAN MARTIN,210890,2018-02-01
404,MITRE,SAN ISIDRO,251929,2018-02-01
405,MITRE,SAN FERNANDO,68543,2018-02-01
406,MITRE,SAN ANDRES,23747,2018-02-01
407,MITRE,SAAVEDRA,37451,2018-02-01
408,MITRE,RIVADAVIA,119126,2018-02-01
409,MITRE,RETIRO (TIGRE),552590,2018-02-01
410,MITRE,RETIRO (SUAREZ-MITRE),585384,2018-02-01
411,MITRE,PUEYRREDON,54696,2018-02-01
412,MITRE,OLIVOS,61302,2018-02-01
413,MITRE,NUNEZ,80285,2018-02-01
414,MITRE,MITRE,58688,2018-02-01
415,MITRE,MIGUELETES,15346,2018-02-01
416,MITRE,MATHEU,1581,2018-02-01
417,MITRE,COGHLAN,28338,2018-02-01
418,MITRE,COLEGIALES,68882,2018-02-01
419,MITRE,DRAGO,28617,2018-02-01
420,MITRE,EL TALAR,39,2018-02-01
421,MITRE,ESCOBAR,4045,2018-02-01
422,MITRE,FLORIDA,16444,2018-02-01
423,MITRE,VIRREYES,118969,2018-02-01
424,MITRE,GARIN,712,2018-02-01
425,MITRE,JUAN B. JUSTO,12517,2018-02-01
426,MITRE,LA LUCILA,44707,2018-02-01
427,MITRE,LOS CARDALES,24,2018-02-01
428,MITRE,MALAVER,23753,2018-02-01
429,MITRE,MAQ. SAVIO,2128,2018-02-01
430,MITRE,MARTINEZ,132394,2018-02-01
431,MITRE,JOSE LEON SUAREZ,211667,2018-02-01
432,ROCA,MONTE,4,2018-02-01
433,ROCA,HAEDO,3008,2018-02-01
434,BELGRANO SUR,FOURNIER,24722,2018-02-01
435,ROCA,TRISTAN SUAREZ,16096,2018-02-01
436,SARMIENTO,ITUZAINGO,191556,2018-02-01
437,ROCA,TOLOSA,1104,2018-02-01
438,ROCA,TEMPERLEY,227827,2018-02-01
439,SARMIENTO,HAEDO,149752,2018-02-01
440,SAN MARTIN,CABRED,3798,2018-02-01
441,SAN MARTIN,CASEROS,136031,2018-02-01
442,SARMIENTO,FLORESTA,101828,2018-02-01
443,ROCA,TABLADA,37,2018-02-01
444,ROCA,SPEGAZZINI,7274,2018-02-01
445,SARMIENTO,FLORES,200124,2018-02-01
446,ROCA,SOURIGUES,13067,2018-02-01
447,ROCA,SARANDI,33326,2018-02-01
448,SARMIENTO,CIUDADELA,89654,2018-02-01
449,SARMIENTO,CASTELAR,192117,2018-02-01
450,SARMIENTO,LINIERS,94923,2018-02-01
451,ROCA,SANTA SOFIA,11331,2018-02-01
452,SARMIENTO,MERLO,560095,2018-02-01
453,ROCA,U. FERROVIARIA,271,2018-02-01
454,SARMIENTO,S.A DE PADUA,171335,2018-02-01
455,SARMIENTO,RAMOS MEJIA,278845,2018-02-01
456,SARMIENTO,PASO DEL REY,145742,2018-02-01
457,ROCA,YRIGOYEN,74074,2018-02-01
458,ROCA,WILDE,42946,2018-02-01
459,ROCA,ZEBALLOS,68201,2018-02-01
460,SARMIENTO,ONCE,1351825,2018-02-01
461,ROCA,VILLA ESPANA,11860,2018-02-01
462,SAN MARTIN,ASTOLFI,18199,2018-02-01
463,ROCA,VILLA ELISA,29864,2018-02-01
464,SARMIENTO,MORON,701584,2018-02-01
465,SARMIENTO,MORENO,669466,2018-02-01
466,SAN MARTIN,B. VISTA,90614,2018-02-01
467,ROCA,V. DOMINICO,22425,2018-02-01
468,ROCA,V. CASARES,142,2018-02-01
469,ROCA,TURDERA,75699,2018-02-01
470,SAN MARTIN,CHACARITA,517,2018-02-01
471,SARMIENTO,VILLA LURO,61353,2018-02-01
472,ROCA,RINGUELET,92,2018-02-01
473,SAN MARTIN,SOL Y VERDE,78870,2018-02-01
474,SAN MARTIN,HURLINGHAM,79594,2018-02-01
475,SAN MARTIN,PILAR,126453,2018-02-01
476,SAN MARTIN,S. LUGARES,22761,2018-02-01
477,SAN MARTIN,MANZANARES,2799,2018-02-01
478,ROCA,MONTE GRANDE,481015,2018-02-01
479,SAN MARTIN,V. PARQUE,278076,2018-02-01
480,SAN MARTIN,W. MORRIS,51162,2018-02-01
481,SAN MARTIN,PATERNAL,23,2018-02-01
482,ROCA,RANELAGH,6654,2018-02-01
